symbol,company,exchange,date,priceRange,price,currency,shares,actions
PE1.AX,Pengana Pvt Equity Trust,ASX,2019-01-02,-,1.25,AUD,800000000,Priced
601615.SS,Ming Yang Smart Energy Grp,Shanghai,2019-01-02,-,4.75,CNY,27590000,Priced
601615.SS,Ming Yang Smart Energy Grp,Shanghai,2019-01-02,-,4.75,CNY,248310000,Priced
FOOD.JK,PT Sentra Food Indonesia Tbk,Jakarta,2019-01-02,0.01 - 0.01,0.009,USD,250000000,Priced
SCV.CN,Scotch Creek Ventures Inc,Canadian Sec,2019-01-02,0.09 - 0.09,0.12,CAD,3305000,Priced
PE1.AX,Pengana Pvt Equity Trust,ASX,2019-01-02,0.89 - 0.89,-,AUD,-,Amended
,PT Menteng Heritage Realty Tbk,Jakarta,2019-01-02,-,105,IDR,1191750000,Amended
,Denim LA Inc,LSE,2019-01-02,-,-,GBP,-,Filed
,PT Menteng Heritage Realty Tbk,Jakarta,2019-01-02,-,-,USD,-,Filed
603700.SS,Ningbo Water Meter Co Ltd,Shanghai,2019-01-02,-,16.63,CNY,35181000,Amended
,Bank Syariah Mandiri PT,Jakarta,2019-01-02,-,-,USD,-,Amended
IRX.AX,irexchange Ltd,ASX,2019-01-02,0.63 - 0.63,-,-,19444444,Withdrawn
CNTO3.SA,Grupo SBF SA,Sao Paolo,2019-01-03,-,12.5,BRL,53719009,Priced
,PT Meta Epsi PT,Jakarta,2019-01-03,-,-,IDR,-,Expected
1845.HK,Weigang Envi Tech Hldg Grp,HKSE,2019-01-03,0.13 - 0.13,0.88,HKD,31248000,Priced
1845.HK,Weigang Envi Tech Hldg Grp,HKSE,2019-01-03,0.13 - 0.13,0.88,HKD,281223000,Priced
601860.SS,Jiangsu Zijin Rural Coml Bk,Shanghai,2019-01-03,-,3.14,CNY,329481000,Priced
,Jhp Fintech Inc,HKSE,2019-01-03,-,-,HKD,-,Filed
,Grupo SBF SA,Sao Paolo,2019-01-03,-,-,BRL,-,Filed
,MR D I Y Trading Sdn Bhd,Kuala Lumpur,2019-01-03,-,-,USD,-,Filed
,Kerry Logistics Network-Thaila,Thailand,2019-01-03,-,-,USD,-,Filed
,PT Meta Epsi PT,Jakarta,2019-01-03,-,320,IDR,625000000,Amended
,China Railway Special Cargo,Shanghai,2019-01-03,-,-,CNY,-,Filed
ZWIPE-.OL,Zwipe AS,Oslo,2019-01-04,2.32 - 2.32,20,NOK,6000000,Priced
1743.HK,Zhejiang Cangnan Instr Grp Co,HKSE,2019-01-04,-,15.8,HKD,1729800,Priced
1743.HK,Zhejiang Cangnan Instr Grp Co,HKSE,2019-01-04,-,15.8,HKD,10643067,Priced
,AK Gold Inc,Canadian Sec,2019-01-04,0.07 - 0.07,-,CAD,3000000,Filed
,PT Titan Infra Energy,Jakarta,2019-01-04,-,-,USD,-,Filed
,China Tobacco Intl(Hk)Co Ltd,HKSE,2019-01-05,-,-,USD,-,Amended
,Cellid Co Ltd,KOSDAQ,2019-01-07,22.40 - 27.78,-,KRW,249270,Priced
1785.HK,Chengdu Expressway Co Ltd,HKSE,2019-01-08,-,2.2,HKD,8058000,Priced
1785.HK,Chengdu Expressway Co Ltd,HKSE,2019-01-08,-,2.2,HKD,241942000,Priced
1785.HK,Chengdu Expressway Co Ltd,HKSE,2019-01-08,-,2.2,HKD,150000000,Priced
TCAN.CN,Transcanna Hldg Inc,Canadian Sec,2019-01-08,0.38 - 0.38,0.5,CAD,4400000,Priced
FOOD.JK,PT Sentra Food Indonesia Tbk,Jakarta,2019-01-08,0.01 - 0.01,0.009,USD,250000000,Priced
,Gleam Fabmat Ltd,BSE,2019-01-08,0.14 - 0.14,10,INR,2960000,Filed
,Helenbergh China Holdings Ltd,HKSE,2019-01-08,-,-,USD,-,Amended
,Gleam Fabmat Ltd,BSE,2019-01-08,0.14 - 0.14,10,INR,160000,Filed
,Affin Hwang Asset Mgmt Bhd,Kuala Lumpur,2019-01-08,-,-,USD,-,Filed
TCAN.CN,Transcanna Hldg Inc,Canadian Sec,2019-01-09,0.38 - 0.38,0.5,CAD,4400000,Priced
,Asset World Corp Co Ltd,Thailand,2019-01-09,-,-,USD,-,Filed
,Ghw International,HKSE,2019-01-09,-,-,HKD,-,Filed
,PT Nobel Property Kencana,Jakarta,2019-01-10,-,-,USD,-,Filed
1876.HK,Budweiser Brewing Co APAC Ltd,HKSE,2019-01-11,-,-,HKD,-,Expected
2360.HK,Best Mart 360 Holdings Ltd,HKSE,2019-01-11,-,1,HKD,25000000,Priced
2885.HK,Peiport Holdings Ltd,HKSE,2019-01-11,-,1.25,HKD,20000000,Priced
,Avicanna Inc,Canadian Sec,2019-01-11,7.54 - 7.54,-,CAD,540484,Filed
ANTI.P.V,Antera Ventures I Corp,TSXV,2019-01-11,0.08 - 0.08,0.1,CAD,2000000,Amended
,Megvii Technology Ltd,HKSE,2019-01-11,-,-,USD,-,Filed
